firm,ipo_date,ticker,CUSIP,CRSP perm,post-issue shares,dual dum,Founding,Rollup dum
Aironet Wireless Communication,19990729,AIRO,00943A107,87052,13567181,0,1993,0
Airport Systems International,19931130,ASII,00949N103,79797,2150000,0,1991,0
Airspan Networks Inc,20000719,AIRN,00950H102,88419,33790000,0,1994,0
Airvana Inc,20070719,AIRV,00950V101,92192,63369555,0,2000,0
Ajay Sports,19891109,AJAY,9704107,76027,5083000,0,1988,0
AK Steel Holding,19940330,AKST,1547108,80303,23944563,0,1989,0
Akamai Technologies Inc,19991029,AKAM,00971T10,87299,91441000,0,1998,0
Akebia Therapeutics Inc,20140320,AKBA,00972D105,14531,19268027,0,2007,0
Aksys,19960516,AKSY,10196103,83466,13220000,0,1991,0
Alabama Federal S & L Assn,19851106,ALFD,1027000,85236,1233750,0,1982,0
Alabama National Bancorp,19941110,ALAB,10317100,81071,3460000,0,1986,0
Aladdin Knowledge Systems,19931012,ALDNF,M0392N101,79676,4125000,0,1985,0
Alamo Group,19930318,ALMO,11311107,78950,7391736,0,1941,0
Alamosa PCS Holdings Inc,20000203,APCS,11593100,87585,59689919,0,1998,0
Alantec,19940204,ALTC,11630100,80222,7531739,0,1987,0
Alarm.com Holdings Inc,20150626,ALRM,11642105,15409,44846440,0,2000,0
Alaska Communications Systems,19991117,ALSK,01167P101,87373,31829273,0,1994,0
ALASKA NAT'L BANK,19840614,ANBN,1174910,11528,1130000,0,1940,0
Albany International,19870930,AAIC,12348108,11731,26021168,1,1900,0
Albany Molecular Research Inc,19990204,AMRI,12423109,86709,13400444,0,1991,0
Alcentra Capital Corp,20140509,ABDC,01374T102,14644,12766766,0,2013,0
Alco Health Services,19850815,AAHS,13750104,85244,12000000,0,1977,0
Alcobra Ltd,20130521,ADHD,M2239P109,13918,11126884,0,2008,0
Alcon Inc,20020320,ACL,H0130110,89350,369750000,0,1971,0
Aldabra Acquisition Corp,20050217,,01407F103,.,10000000,0,2004,0
Alden Press,19920818,ALDN,14292106,77864,7000000,0,1946,0
Alder BioPharmaceuticals Inc,20140508,ALDR,14339105,14646,29902822,0,2002,0
Aldeyra Therapeutics Inc,20140502,ALDX,01438T106,14647,5470164,0,2004,0
Aldila,19930608,ALDA,14384101,79247,7831579,0,1972,0
Aldus,19870616,ALDC,14432108,11422,10287192,0,1984,0
Alex Brown,19860228,ABSB,13902101,10071,8953216,0,1900,0
ALEXANDER ENERGY,19811119,AEOK,1461710,11704,6301000,0,1980,0
Alexion Pharmaceuticals,19960228,ALXN,15351109,83111,6990785,0,1992,0
Alexza Pharmaceuticals Inc,20060308,ALXA,15384100,91154,22646381,0,2000,0
ALFA International,19880224,ALFE,15389208,10184,6000000,0,1938,0
ALFIN FRAGRANCES,19830920,ALFN,1542610,69171,3252000,0,1980,0
Algos Pharmaceutical,19960925,ALGO,15869100,83922,19042437,0,1992,0
Alias Research,19900717,ADDDF,1.61E+105,78734,5049836,0,1983,0
Alibaba Group Holding Ltd,20140919,BABA,01609W102,14888,2464393304,1,1999,0
Align Technology,20010126,ALGN,1625510,88860,45616000,0,1997,0
Align-Rite International,19950721,MASK,16251100,81878,4538915,0,1986,0
Alimera Sciences Inc,20100422,ALIM,1625910,93339,31051055,0,2003,0
Alkermes,19910716,ALKS,01642T108,76736,7424743,0,1987,0
All American Food Group,19961211,AAFG,16435307,84286,2967359,0,1993,0
All American Gourmet Co,19850918,AAGC,16505109,85279,7700000,0,1983,0
All American Semiconductor,19870805,SEMI,16557100,75554,2777778,0,1964,0
All American Television,19851212,ALLT,1656200,85287,1800000,0,1982,0
All For A Dollar,19920505,ADLR,01662K102,77574,7139190,0,1990,0
ALL SEASONS RESORTS,19840313,ALSE,1663410,11827,2009000,0,1982,0
Allaire Corp,19990122,ALLR,16714107,86565,10458260,0,1996,0
ALLEGHENY & WESTERN,19810701,ALGH,1722710,11835,6806000,0,1981,0
Allegheny Ludlum,19870508,ALS,16900102,75002,22850000,0,1938,0
Allegiance Bancshares Inc,20151008,ABTX,01748H107,15774,12423025,0,2007,0
Allegiance Telecom Inc,19980630,ALGX,01747T102,86238,50341552,0,1997,0
Allegiant Travel Company,20061208,ALGT,01748X102,91659,19795933,0,1997,0
Allegro New Media,19951206,ANMI,16903106,82669,3335077,0,1992,0
Alliance Capital Mgmt,19880414,AC,18548107,75278,11499900,0,1971,0
Alliance Data Systems Corp,20010607,ADS,1858110,89002,60662000,0,1983,0
Alliance Fiber Optic Products,20001120,AFOP,18680108,88786,34700000,0,1995,0
Alliance Holdings GP LP,20060509,AHGP,01861G100,91263,59863000,0,1971,0
Alliance Imaging,19870820,AIMG,18605105,11620,3517332,0,1983,0
Alliance Imaging,19911108,SCAN,18606103,77085,5820700,0,1983,0
Alliance Imaging Inc,20010727,AIQ,1860620,89048,47453000,0,1983,0
Alliance Resource Partners LP,19990816,ARLP,01877R108,87198,7750000,0,1999,0
Alliance Semiconductor,19931130,ALSC,01877H100,79935,11673051,0,1985,0
Alliance World Dollar Govt Fd,19921029,AWG,18796102,78037,6507200,0,1992,0
Alliant Computer Systems,19861217,ALNT,18800102,10953,9707864,0,1982,0
AllianzGI Diversified Income,20150522,ACV,01883J108,15337,0,0,2015,0
"Allied Bankshares,Thompson,GA",19870318,ABGA,18885103,11186,3084988,0,1984,0
Allied Capital II,19891026,ALII,1903710,75836,5507170,0,1989,0
